epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error
0,0.011913653463125229,0.0009237986523658037,0.0209529809653759,0.0009237986523658037,0.0031464030034840107,0.03924931585788727,0.0031464030034840107,0.0002475359942764044,0.011043323203921318,0.0002475359942764044
1,0.012917865067720413,0.001799349207431078,0.02508413977921009,0.001799349207431078,0.0032635959796607494,0.03995800018310547,0.0032635959796607494,0.000270850578090176,0.011468454264104366,0.000270850578090176
2,0.013489244505763054,0.0022273350041359663,0.030032536014914513,0.0022273350041359663,0.003382086521014571,0.04070871323347092,0.003382086521014571,0.0002894967619795352,0.01184116117656231,0.0002894967619795352
3,0.01487214770168066,0.0031213010661303997,0.03407369926571846,0.0031213010661303997,0.0035905789118260145,0.04167059063911438,0.0035905789118260145,0.0003100988978985697,0.012199134565889835,0.0003100988978985697
4,0.022225718945264816,0.00854808371514082,0.03642100468277931,0.00854808371514082,0.004510529804974794,0.044662147760391235,0.004510529804974794,0.00039568275678902864,0.013050484471023083,0.0003956827858928591
5,0.014415341429412365,0.0026277818251401186,0.0392611026763916,0.0026277818251401186,0.0037183589302003384,0.042691729962825775,0.0037183589302003384,0.00032792065758258104,0.012641767039895058,0.00032792065758258104
6,0.018304971978068352,0.00555912172421813,0.03486937656998634,0.00555912172421813,0.004166237078607082,0.04356444999575615,0.004166237078607082,0.0003612858708947897,0.012797102332115173,0.00036128584179095924
7,0.015236129984259605,0.00322120008058846,0.03684443607926369,0.00322120008058846,0.0038147533778101206,0.04288087412714958,0.0038147533778101206,0.0003410826902836561,0.012733486481010914,0.00034108266117982566
8,0.01743716187775135,0.005182682070881128,0.04029996693134308,0.005182682070881128,0.003963174298405647,0.043528907001018524,0.003963174298405647,0.0003622868680395186,0.012972136028110981,0.0003622868680395186
9,0.013734332285821438,0.0017075886717066169,0.030230890959501266,0.0017075886717066169,0.0037371632643043995,0.042248763144016266,0.0037371632643043995,0.00032904543331824243,0.01247049868106842,0.0003290454624220729
