epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,10119971840.0,10035808256.0,82910.046875,10035808256.0,84166896.0,5905.84912109375,84166896.0,84188400.0,5907.16259765625,84188400.0,1188824832.0,1181961344.0,34361.83203125,1181961344.0,6863364.0,2167.724609375,6863364.0,6871656.5,2169.086669921875,6871656.5
1,637652224.0,634105664.0,24757.52734375,634105664.0,3546705.0,1530.558349609375,3546705.0,3552739.0,1531.9617919921875,3552739.0,336506304.0,334735040.0,18287.8984375,334735040.0,1771247.0,1106.3935546875,1771247.0,1775583.875,1107.7882080078125,1775583.875
2,226505376.0,225334464.0,14904.470703125,225334464.0,1170954.375,893.2103271484375,1170954.375,1174541.125,894.638427734375,1174541.125,150581808.0,149827904.0,12235.71484375,149827904.0,753886.375,724.0432739257812,753886.375,756764.4375,725.4569702148438,756764.4375
3,111956736.0,111402512.0,10511.2021484375,111402512.0,554282.125,618.5120849609375,554282.125,556793.1875,619.9559326171875,556793.1875,82346264.0,81947824.0,9049.2978515625,81947824.0,398442.625,527.6260375976562,398442.625,400561.25,529.0540771484375,400561.25
4,64509620.0,64200188.0,7989.14013671875,64200188.0,309449.96875,463.8743591308594,309449.96875,311352.21875,465.3320007324219,311352.21875,50040432.0,49805024.0,7054.94873046875,49805024.0,235403.875,406.45147705078125,235403.875,237050.46875,407.8913879394531,237050.46875
5,40503976.0,40314648.0,6335.03076171875,40314648.0,189320.96875,363.9025573730469,189320.96875,190825.25,365.3708801269531,190825.25,32486438.0,32337156.0,5684.826171875,32337156.0,149285.328125,324.3163757324219,149285.328125,150609.1875,325.7664794921875,150609.1875
6,26941902.0,26818726.0,5169.21826171875,26818726.0,123183.5703125,294.2460021972656,123183.5703125,124408.6953125,295.7234802246094,124408.6953125,22164744.0,22065012.0,4695.98095703125,22065012.0,99733.8515625,265.57745361328125,99733.8515625,100825.515625,267.03582763671875,100825.515625
7,18685786.0,18602068.0,4306.3525390625,18602068.0,83721.4296875,243.1475830078125,83721.4296875,84739.8515625,244.63299560546875,84739.8515625,15636447.0,15567420.0,3944.478515625,15567420.0,69029.1953125,221.3375701904297,69029.1953125,69944.8828125,222.80255126953125,69944.8828125
8,13355491.0,13296720.0,3641.541015625,13296720.0,58771.33203125,204.10879516601562,58771.33203125,59631.62109375,205.6019744873047,59631.62109375,11323729.0,11274610.0,3356.90087890625,11274610.0,49120.609375,187.02008056640625,49120.609375,49898.99609375,188.4921112060547,49898.99609375
9,9766264.0,9724012.0,3114.5576171875,9724012.0,42249.703125,173.38352966308594,42249.703125,42984.71484375,174.88377380371094,42984.71484375,8363752.0,8328073.0,2885.133544921875,8328073.0,35678.1953125,159.64459228515625,35678.1953125,36346.4765625,161.1230926513672,36346.4765625
