epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error
0,0.06322921812534332,0.002555878832936287,0.029447240754961967,0.002555878832936287,0.036543458700180054,0.12314336746931076,0.036543458700180054,0.0004446709353942424,0.014723471365869045,0.0004446709353942424
1,0.06803002208471298,0.0062418351881206036,0.039547406136989594,0.0062418351881206036,0.03744405508041382,0.12499246746301651,0.03744405508041382,0.0005061457632109523,0.015534089878201485,0.0005061457632109523
2,0.07153850793838501,0.008781013078987598,0.052060678601264954,0.008781013078987598,0.038241587579250336,0.12662602961063385,0.038241587579250336,0.0005371958250179887,0.01614929921925068,0.0005371958250179887
3,0.10472961515188217,0.03429321572184563,0.05880177021026611,0.03429321572184563,0.04448802024126053,0.13330580294132233,0.04448802024126053,0.0007988373981788754,0.017318634316325188,0.0007988373981788754
4,0.07972446829080582,0.013175971806049347,0.0656900554895401,0.013175971806049347,0.04143354296684265,0.13181275129318237,0.04143354296684265,0.0006158349569886923,0.017403142526745796,0.0006158349569886923
5,0.0980156660079956,0.024788975715637207,0.06482900679111481,0.024788975715637207,0.044996414333581924,0.13542045652866364,0.044996414333581924,0.0007119752699509263,0.01759943924844265,0.0007119752699509263
6,0.09550710767507553,0.024864766746759415,0.07449902594089508,0.024864766746759415,0.04403962939977646,0.134787917137146,0.04403962939977646,0.0007146390271373093,0.017888391390442848,0.0007146390271373093
7,0.07472939789295197,0.005669036414474249,0.054048795253038406,0.005669036414474249,0.04201313853263855,0.13177146017551422,0.04201313853263855,0.0005645037745125592,0.016848314553499222,0.0005645037745125592
8,0.08212196826934814,0.012755418196320534,0.060948047786951065,0.012755418196320534,0.0423533171415329,0.132439523935318,0.0423533171415329,0.000604142202064395,0.017063576728105545,0.0006041422602720559
9,0.07377336174249649,0.00702285161241889,0.06259240955114365,0.00702285161241889,0.04052549973130226,0.1302805095911026,0.04052549973130226,0.0005762253422290087,0.016964856535196304,0.0005762254004366696
10,0.09876006841659546,0.021537939086556435,0.059570781886577606,0.021537939086556435,0.04637375473976135,0.1367841213941574,0.04637375473976135,0.0007299770368263125,0.01766665279865265,0.0007299770368263125
11,0.08133362233638763,0.012155866250395775,0.0628533810377121,0.012155866250395775,0.0419442355632782,0.13198094069957733,0.0419442355632782,0.0006199549534358084,0.01716720126569271,0.0006199549534358084
12,0.07244616746902466,0.005480548832565546,0.05554588884115219,0.005480548832565546,0.04023557901382446,0.12948869168758392,0.04023557901382446,0.0005593232926912606,0.016634266823530197,0.0005593232926912606
13,0.08042267709970474,0.01110207848250866,0.056047454476356506,0.01110207848250866,0.041835036128759384,0.13170631229877472,0.041835036128759384,0.0006227268022485077,0.017047522589564323,0.0006227268022485077
14,0.07747650891542435,0.009239735081791878,0.056790903210639954,0.009239735081791878,0.04089099168777466,0.13044846057891846,0.04089099168777466,0.0005836448399350047,0.01681431755423546,0.0005836447817273438
15,0.07856769859790802,0.010044870898127556,0.055168334394693375,0.010044870898127556,0.041085612028837204,0.13047170639038086,0.041085612028837204,0.0005974228261038661,0.016822846606373787,0.0005974228261038661
16,0.0842323899269104,0.015523039735853672,0.06548768281936646,0.015523039735853672,0.04157835245132446,0.13131874799728394,0.04157835245132446,0.0006551127880811691,0.01726032793521881,0.00065511284628883
17,0.07327709347009659,0.004239423666149378,0.04734370484948158,0.004239423666149378,0.04105929657816887,0.13012462854385376,0.04105929657816887,0.00054647505749017,0.016385406255722046,0.00054647505749017
18,0.10163792222738266,0.026792433112859726,0.0652904063463211,0.026792433112859726,0.04599599167704582,0.13578858971595764,0.04599599167704582,0.000807575008366257,0.017770012840628624,0.000807575008366257
19,0.07408985495567322,0.004842509049922228,0.050463393330574036,0.004842509049922228,0.041290972381830215,0.13061930239200592,0.041290972381830215,0.000564542890060693,0.016616929322481155,0.000564542890060693
20,0.08244600147008896,0.012357891537249088,0.05966590344905853,0.012357891537249088,0.04213328659534454,0.13201358914375305,0.04213328659534454,0.0006287379655987024,0.01711437478661537,0.0006287379655987024
21,0.07256586849689484,0.005125762894749641,0.053870104253292084,0.005125762894749641,0.0400296226143837,0.12912094593048096,0.0400296226143837,0.0005591250373981893,0.016550246626138687,0.0005591250373981893
22,0.09673904627561569,0.020623531192541122,0.05713715776801109,0.020623531192541122,0.04590978845953941,0.13524982333183289,0.04590978845953941,0.0007602385012432933,0.017432009801268578,0.0007602384430356324
23,0.07357782870531082,0.005795528180897236,0.057219769805669785,0.005795528180897236,0.040206294506788254,0.12970371544361115,0.040206294506788254,0.0005710991099476814,0.016777867451310158,0.0005710991099476814
24,0.07575168460607529,0.007593875285238028,0.052866239100694656,0.007593875285238028,0.040416885167360306,0.12972034513950348,0.040416885167360306,0.0005798090132884681,0.016689004376530647,0.000579809071496129
25,0.0913313701748848,0.017122020944952965,0.05762695148587227,0.017122020944952965,0.04441512003540993,0.13441304862499237,0.04441512003540993,0.0006663869717158377,0.01731620356440544,0.0006663869135081768
26,0.07303649187088013,0.004935022443532944,0.051510851830244064,0.004935022443532944,0.04020730406045914,0.12938585877418518,0.04020730406045914,0.0005637556314468384,0.01658996380865574,0.0005637556314468384
27,0.09506078064441681,0.019144341349601746,0.062345944344997406,0.019144341349601746,0.045585084706544876,0.13588464260101318,0.045585084706544876,0.0007137507782317698,0.017635678872466087,0.0007137508364394307
28,0.07353571057319641,0.004979973193258047,0.05394575744867325,0.004979973193258047,0.04047707840800285,0.1299268901348114,0.04047707840800285,0.0005689769750460982,0.016700351610779762,0.0005689769750460982
29,0.08034814894199371,0.010334248654544353,0.050904545933008194,0.010334248654544353,0.04160550236701965,0.13088220357894897,0.04160550236701965,0.0006231257575564086,0.016833528876304626,0.0006231257575564086
30,0.07319426536560059,0.005699359346181154,0.05486069992184639,0.005699359346181154,0.039851702749729156,0.12918363511562347,0.039851702749729156,0.000570809468626976,0.016698816791176796,0.000570809468626976
31,0.08800243586301804,0.015698933973908424,0.05136564373970032,0.015698933973908424,0.04360371455550194,0.13268591463565826,0.04360371455550194,0.0006522463518194854,0.01692158915102482,0.0006522464100271463
32,0.0728711262345314,0.005314336623996496,0.05444009229540825,0.005314336623996496,0.03987428545951843,0.12912295758724213,0.03987428545951843,0.0005702917114831507,0.01669440045952797,0.0005702917114831507
33,0.08002635091543198,0.01021882425993681,0.05197267234325409,0.01021882425993681,0.04124303162097931,0.13049863278865814,0.04124303162097931,0.0006091390387155116,0.016788631677627563,0.0006091390387155116
34,0.11709997802972794,0.03757874667644501,0.06800038367509842,0.03757874667644501,0.04911239817738533,0.13671675324440002,0.04911239817738533,0.000982932629995048,0.018081780523061752,0.000982932629995048
35,0.08177892863750458,0.005782349035143852,0.051665641367435455,0.005782349035143852,0.043928638100624084,0.1338636428117752,0.043928638100624084,0.0005761280190199614,0.016729440540075302,0.0005761280190199614
36,0.07370324432849884,0.0052300747483968735,0.05488206818699837,0.0052300747483968735,0.040324464440345764,0.1296852082014084,0.040324464440345764,0.0005699865869246423,0.01667107827961445,0.0005699865869246423
37,0.07634379714727402,0.00760654965415597,0.05162963271141052,0.00760654965415597,0.04045099765062332,0.12969227135181427,0.04045099765062332,0.000583812827244401,0.016696104779839516,0.000583812827244401
38,0.08641480654478073,0.014436244033277035,0.05738535523414612,0.014436244033277035,0.04239049181342125,0.13241223990917206,0.04239049181342125,0.0006578337633982301,0.017261316999793053,0.0006578337633982301
39,0.0723651796579361,0.004280361346900463,0.049241311848163605,0.004280361346900463,0.0399756096303463,0.12893253564834595,0.0399756096303463,0.000559664040338248,0.016483498737215996,0.000559664040338248
40,0.07526221871376038,0.0069858538918197155,0.050997305661439896,0.0069858538918197155,0.04020383208990097,0.12935934960842133,0.04020383208990097,0.000580666062887758,0.016615204513072968,0.000580666062887758
41,0.08146478235721588,0.011528201401233673,0.05756445974111557,0.011528201401233673,0.04127455875277519,0.13108022511005402,0.04127455875277519,0.0006136574083939195,0.017021160572767258,0.0006136574083939195
42,0.07169436663389206,0.0041689639911055565,0.0480518601834774,0.0041689639911055565,0.03962249308824539,0.12846197187900543,0.03962249308824539,0.0005580480792559683,0.01644294708967209,0.0005580480792559683
43,0.08154767006635666,0.01122633833438158,0.05055840685963631,0.01122633833438158,0.04159765690565109,0.1309218853712082,0.04159765690565109,0.0006035775295458734,0.016779866069555283,0.0006035774713382125
