my,phi,v0,v1,v2,v3,v4,v5,v6,v7,v8
-1,0,0.282095,-0,-0.488603,-0,0,0,0.630783,0,0
-1,0.125664,0.282095,-0,-0.488603,-0,0,0,0.630783,0,0
-1,0.251327,0.282095,-0,-0.488603,-0,0,0,0.630783,0,0
-1,0.376991,0.282095,-0,-0.488603,-0,0,0,0.630783,0,0
-1,0.502655,0.282095,-0,-0.488603,-0,0,0,0.630783,0,0
-1,0.628319,0.282095,-0,-0.488603,-0,0,0,0.630783,0,0
-1,0.753982,0.282095,-0,-0.488603,-0,0,0,0.630783,0,0
-1,0.879646,0.282095,-0,-0.488603,-0,0,0,0.630783,0,-0
-1,1.00531,0.282095,-0,-0.488603,-0,0,0,0.630783,0,-0
-1,1.13097,0.282095,-0,-0.488603,-0,0,0,0.630783,0,-0
-1,1.25664,0.282095,-0,-0.488603,-0,0,0,0.630783,0,-0
-1,1.3823,0.282095,-0,-0.488603,-0,0,0,0.630783,0,-0
-1,1.50796,0.282095,-0,-0.488603,-0,0,0,0.630783,0,-0
-1,1.63363,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,-0
-1,1.75929,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,-0
-1,1.88496,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,-0
-1,2.01062,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,-0
-1,2.13628,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,-0
-1,2.26195,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,-0
-1,2.38761,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,0
-1,2.51327,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,0
-1,2.63894,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,0
-1,2.7646,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,0
-1,2.89027,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,0
-1,3.01593,0.282095,-0,-0.488603,0,-0,0,0.630783,-0,0
-1,3.14159,0.282095,0,-0.488603,0,0,-0,0.630783,-0,0
-1,3.26726,0.282095,0,-0.488603,0,0,-0,0.630783,-0,0
-1,3.39292,0.282095,0,-0.488603,0,0,-0,0.630783,-0,0
-1,3.51858,0.282095,0,-0.488603,0,0,-0,0.630783,-0,0
-1,3.64425,0.282095,0,-0.488603,0,0,-0,0.630783,-0,0
-1,3.76991,0.282095,0,-0.488603,0,0,-0,0.630783,-0,0
-1,3.89557,0.282095,0,-0.488603,0,0,-0,0.630783,-0,0
-1,4.02124,0.282095,0,-0.488603,0,0,-0,0.630783,-0,-0
-1,4.1469,0.282095,0,-0.488603,0,0,-0,0.630783,-0,-0
-1,4.27257,0.282095,0,-0.488603,0,0,-0,0.630783,-0,-0
-1,4.39823,0.282095,0,-0.488603,0,0,-0,0.630783,-0,-0
-1,4.52389,0.282095,0,-0.488603,0,0,-0,0.630783,-0,-0
-1,4.64956,0.282095,0,-0.488603,0,0,-0,0.630783,-0,-0
-1,4.77522,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,-0
-1,4.90088,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,-0
-1,5.02655,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,-0
-1,5.15221,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,-0
-1,5.27788,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,-0
-1,5.40354,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,-0
-1,5.5292,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,0
-1,5.65487,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,0
-1,5.78053,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,0
-1,5.90619,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,0
-1,6.03186,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,0
-1,6.15752,0.282095,0,-0.488603,-0,-0,-0,0.630783,0,0
-1,6.28319,0.282095,-0,-0.488603,-0,0,0,0.630783,0,0
-0.96,0,0.282095,-0,-0.469058,-0.136809,0,0,0.556603,0.293677,0.0428279
-0.96,0.125664,0.282095,-0.0171467,-0.469058,-0.13573,0.0106509,0.0368075,0.556603,0.291361,0.0414824
-0.96,0.251327,0.282095,-0.0340229,-0.469058,-0.132511,0.0206325,0.0730345,0.556603,0.284451,0.0375304
-0.96,0.376991,0.282095,-0.0503626,-0.469058,-0.127202,0.0293177,0.10811,0.556603,0.273054,0.0312202
-0.96,0.502655,0.282095,-0.0659081,-0.469058,-0.119886,0.0361608,0.14148,0.556603,0.257351,0.0229483
-0.96,0.628319,0.282095,-0.0804141,-0.469058,-0.110681,0.0407318,0.172619,0.556603,0.23759,0.0132345
-0.96,0.753982,0.282095,-0.093652,-0.469058,-0.0997293,0.0427434,0.201036,0.556603,0.214081,0.00268919
-0.96,0.879646,0.282095,-0.105413,-0.469058,-0.0872051,0.0420693,0.226282,0.556603,0.187197,-0.00802515
-0.96,1.00531,0.282095,-0.115511,-0.469058,-0.0733058,0.0387518,0.24796,0.556603,0.15736,-0.0182352
-0.96,1.13097,0.282095,-0.123788,-0.469058,-0.0582503,0.0329995,0.265727,0.556603,0.125042,-0.0272995
-0.96,1.25664,0.282095,-0.130113,-0.469058,-0.0422762,0.0251736,0.279303,0.556603,0.0907512,-0.0346485
-0.96,1.3823,0.282095,-0.134385,-0.469058,-0.0256354,0.015766,0.288475,0.556603,0.0550296,-0.0398204
-0.96,1.50796,0.282095,-0.136539,-0.469058,-0.00859029,0.00536776,0.293098,0.556603,0.0184401,-0.0424902
-0.96,1.63363,0.282095,-0.136539,-0.469058,0.00859029,-0.00536776,0.293098,0.556603,-0.0184401,-0.0424902
-0.96,1.75929,0.282095,-0.134385,-0.469058,0.0256354,-0.015766,0.288475,0.556603,-0.0550296,-0.0398204
-0.96,1.88496,0.282095,-0.130113,-0.469058,0.0422762,-0.0251736,0.279303,0.556603,-0.0907512,-0.0346485
-0.96,2.01062,0.282095,-0.123788,-0.469058,0.0582503,-0.0329995,0.265727,0.556603,-0.125042,-0.0272995
-0.96,2.13628,0.282095,-0.115511,-0.469058,0.0733058,-0.0387518,0.24796,0.556603,-0.15736,-0.0182352
-0.96,2.26195,0.282095,-0.105413,-0.469058,0.0872051,-0.0420693,0.226282,0.556603,-0.187197,-0.00802515
-0.96,2.38761,0.282095,-0.093652,-0.469058,0.0997293,-0.0427434,0.201036,0.556603,-0.214081,0.00268919
-0.96,2.51327,0.282095,-0.0804141,-0.469058,0.110681,-0.0407318,0.172619,0.556603,-0.23759,0.0132345
-0.96,2.63894,0.282095,-0.0659081,-0.469058,0.119886,-0.0361608,0.14148,0.556603,-0.257351,0.0229483
-0.96,2.7646,0.282095,-0.0503626,-0.469058,0.127202,-0.0293177,0.10811,0.556603,-0.273054,0.0312202
-0.96,2.89027,0.282095,-0.0340229,-0.469058,0.132511,-0.0206325,0.0730345,0.556603,-0.284451,0.0375304
-0.96,3.01593,0.282095,-0.0171467,-0.469058,0.13573,-0.0106509,0.0368075,0.556603,-0.291361,0.0414824
-0.96,3.14159,0.282095,4.4001e-17,-0.469058,0.136809,2.7549e-17,-9.44537e-17,0.556603,-0.293677,0.0428279
-0.96,3.26726,0.282095,0.0171467,-0.469058,0.13573,0.0106509,-0.0368075,0.556603,-0.291361,0.0414824
-0.96,3.39292,0.282095,0.0340229,-0.469058,0.132511,0.0206325,-0.0730345,0.556603,-0.284451,0.0375304
-0.96,3.51858,0.282095,0.0503626,-0.469058,0.127202,0.0293177,-0.10811,0.556603,-0.273054,0.0312202
-0.96,3.64425,0.282095,0.0659081,-0.469058,0.119886,0.0361608,-0.14148,0.556603,-0.257351,0.0229483
-0.96,3.76991,0.282095,0.0804141,-0.469058,0.110681,0.0407318,-0.172619,0.556603,-0.23759,0.0132345
-0.96,3.89557,0.282095,0.093652,-0.469058,0.0997293,0.0427434,-0.201036,0.556603,-0.214081,0.00268919
-0.96,4.02124,0.282095,0.105413,-0.469058,0.0872051,0.0420693,-0.226282,0.556603,-0.187197,-0.00802515
-0.96,4.1469,0.282095,0.115511,-0.469058,0.0733058,0.0387518,-0.24796,0.556603,-0.15736,-0.0182352
-0.96,4.27257,0.282095,0.123788,-0.469058,0.0582503,0.0329995,-0.265727,0.556603,-0.125042,-0.0272995
-0.96,4.39823,0.282095,0.130113,-0.469058,0.0422762,0.0251736,-0.279303,0.556603,-0.0907512,-0.0346485
-0.96,4.52389,0.282095,0.134385,-0.469058,0.0256354,0.015766,-0.288475,0.556603,-0.0550296,-0.0398204
-0.96,4.64956,0.282095,0.136539,-0.469058,0.00859029,0.00536776,-0.293098,0.556603,-0.0184401,-0.0424902
-0.96,4.77522,0.282095,0.136539,-0.469058,-0.00859029,-0.00536776,-0.293098,0.556603,0.0184401,-0.0424902
-0.96,4.90088,0.282095,0.134385,-0.469058,-0.0256354,-0.015766,-0.288475,0.556603,0.0550296,-0.0398204
-0.96,5.02655,0.282095,0.130113,-0.469058,-0.0422762,-0.0251736,-0.279303,0.556603,0.0907512,-0.0346485
-0.96,5.15221,0.282095,0.123788,-0.469058,-0.0582503,-0.0329995,-0.265727,0.556603,0.125042,-0.0272995
-0.96,5.27788,0.282095,0.115511,-0.469058,-0.0733058,-0.0387518,-0.24796,0.556603,0.15736,-0.0182352
-0.96,5.40354,0.282095,0.105413,-0.469058,-0.0872051,-0.0420693,-0.226282,0.556603,0.187197,-0.00802515
-0.96,5.5292,0.282095,0.093652,-0.469058,-0.0997293,-0.0427434,-0.201036,0.556603,0.214081,0.00268919
-0.96,5.65487,0.282095,0.0804141,-0.469058,-0.110681,-0.0407318,-0.172619,0.556603,0.23759,0.0132345
-0.96,5.78053,0.282095,0.0659081,-0.469058,-0.119886,-0.0361608,-0.14148,0.556603,0.257351,0.0229483
-0.96,5.90619,0.282095,0.0503626,-0.469058,-0.127202,-0.0293177,-0.10811,0.556603,0.273054,0.0312202
-0.96,6.03186,0.282095,0.0340229,-0.469058,-0.132511,-0.0206325,-0.0730345,0.556603,0.284451,0.0375304
-0.96,6.15752,0.282095,0.0171467,-0.469058,-0.13573,-0.0106509,-0.0368075,0.556603,0.291361,0.0414824
-0.96,6.28319,0.282095,-8.80021e-17,-0.469058,-0.136809,5.5098e-17,1.88907e-16,0.556603,0.293677,0.0428279
-0.92,0,0.282095,-0,-0.449514,-0.191492,0,0,0.485451,0.393935,0.0839077
-0.92,0.125664,0.282095,-0.0240003,-0.449514,-0.189982,0.020867,0.0493731,0.485451,0.390828,0.0812716
-0.92,0.251327,0.282095,-0.0476222,-0.449514,-0.185476,0.0404229,0.0979676,0.485451,0.381558,0.0735289
-0.92,0.376991,0.282095,-0.070493,-0.449514,-0.178045,0.0574388,0.145017,0.485451,0.366271,0.0611661
-0.92,0.502655,0.282095,-0.0922521,-0.449514,-0.167806,0.0708456,0.189779,0.485451,0.345208,0.04496
-0.92,0.628319,0.282095,-0.112556,-0.449514,-0.154921,0.079801,0.231549,0.485451,0.3187,0.0259289
-0.92,0.753982,0.282095,-0.131085,-0.449514,-0.139592,0.0837421,0.269667,0.485451,0.287166,0.00526861
-0.92,0.879646,0.282095,-0.147547,-0.449514,-0.122062,0.0824215,0.303532,0.485451,0.251103,-0.0157227
-0.92,1.00531,0.282095,-0.161682,-0.449514,-0.102607,0.075922,0.33261,0.485451,0.211081,-0.0357262
-0.92,1.13097,0.282095,-0.173267,-0.449514,-0.0815335,0.064652,0.356443,0.485451,0.167729,-0.0534848
-0.92,1.25664,0.282095,-0.18212,-0.449514,-0.0591744,0.0493197,0.374654,0.485451,0.121732,-0.0678828
-0.92,1.3823,0.282095,-0.1881,-0.449514,-0.0358821,0.0308885,0.386957,0.485451,0.073816,-0.0780154
-0.92,1.50796,0.282095,-0.191114,-0.449514,-0.0120239,0.0105164,0.393157,0.485451,0.0247354,-0.0832461
-0.92,1.63363,0.282095,-0.191114,-0.449514,0.0120239,-0.0105164,0.393157,0.485451,-0.0247354,-0.0832461
-0.92,1.75929,0.282095,-0.1881,-0.449514,0.0358821,-0.0308885,0.386957,0.485451,-0.073816,-0.0780154
-0.92,1.88496,0.282095,-0.18212,-0.449514,0.0591744,-0.0493197,0.374654,0.485451,-0.121732,-0.0678828
-0.92,2.01062,0.282095,-0.173267,-0.449514,0.0815335,-0.064652,0.356443,0.485451,-0.167729,-0.0534848
