epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,0.0019767184276133776,1.3471358215610962e-05,0.002723210956901312,1.3471358215610962e-05,6.063428008928895e-05,0.004007833078503609,6.058021608623676e-05,3.576746848921175e-06,0.00098715431522578,3.5733501135837287e-06,0.0019252748461440206,4.060084393131547e-06,0.0018999713938683271,4.060084393131547e-06,2.7719179342966527e-05,0.0032060600351542234,2.734380541369319e-05,2.8986762572458247e-06,0.0008123700390569866,2.8415634005796164e-06
1,0.0021267770789563656,6.549269892275333e-05,0.0050085801631212234,6.549269892275333e-05,0.00013146238052286208,0.006830950267612934,0.0001325580815318972,6.854979801573791e-06,0.001637826906517148,6.906630005687475e-06,0.004464497324079275,0.0007779254228807986,0.022574733942747116,0.0007779254228807986,0.0012499946169555187,0.032387424260377884,0.001253610011190176,5.756025348091498e-05,0.0074143484234809875,5.763615990872495e-05
2,0.002123336074873805,7.090087456163019e-05,0.005166248418390751,7.090087456163019e-05,0.00012564197822939605,0.0065178098157048225,0.0001255331007996574,6.713505626976257e-06,0.0015675697941333055,6.706965905323159e-06,0.001999576110392809,5.346739271772094e-05,0.006966148968786001,5.346739271772094e-05,5.0986815040232614e-05,0.0053245932795107365,5.057007001596503e-05,4.168040049989941e-06,0.0012996570440009236,4.109087967663072e-06
3,0.002111124573275447,6.503840268123895e-05,0.005644206888973713,6.503840268123895e-05,0.00012227764818817377,0.007256980519741774,0.00012215616879984736,6.548706551257055e-06,0.0017382956575602293,6.543235031131189e-06,0.0020383140072226524,3.158987601636909e-05,0.0041041504591703415,3.158987601636909e-05,9.603895159671083e-05,0.007993778213858604,9.599942131899297e-05,5.942606549069751e-06,0.0018567442893981934,5.900436462979997e-06
4,0.0020901376847177744,6.364013825077564e-05,0.0059109898284077644,6.364013825077564e-05,0.00011235013516852632,0.006962192244827747,0.00011222907050978392,6.068538823456038e-06,0.001671025063842535,6.062104148440994e-06,0.001909014885313809,1.5845581629037042e-06,0.0007438355241902173,1.5845581629037042e-06,3.3647076634224504e-05,0.003198578953742981,3.3644624636508524e-05,2.9680888928851346e-06,0.0007825118373148143,2.9249094950500876e-06
5,0.0027978774160146713,0.0003464099718257785,0.007447372190654278,0.0003464099718257785,0.0003906052152160555,0.009067883715033531,0.000392158079193905,1.9709155822056346e-05,0.0021689587738364935,1.9714874724741094e-05,0.0020861790981143713,6.022704837960191e-05,0.007354427129030228,6.022704837960191e-05,0.00011963886936428025,0.007505479268729687,0.00011954823276028037,5.9052954384242184e-06,0.0015980048337951303,5.860528290213551e-06
6,0.001956489635631442,1.1357618859619834e-05,0.0022729099728167057,1.1357618859619834e-05,5.8734454796649516e-05,0.0037928663659840822,5.8680379879660904e-05,3.6360329431772698e-06,0.0009393950458616018,3.6325086512078997e-06,0.0019078762270510197,4.3942932848040073e-07,0.0005814286996610463,4.3942932848040073e-07,2.7515507099451497e-05,0.002943804720416665,2.7128489819006063e-05,2.9304630970727885e-06,0.0007568335277028382,2.8707504498015624e-06
7,0.0019742853473871946,2.07747161766747e-05,0.0031658674124628305,2.07747161766747e-05,6.802497955504805e-05,0.00446664821356535,6.802779535064474e-05,3.856419425574131e-06,0.0010883971117436886,3.860979632008821e-06,0.0019428067607805133,1.1869546142406762e-05,0.002742048352956772,1.1869546142406762e-05,4.806171273230575e-05,0.005116312764585018,4.7723038733238354e-05,3.748820063265157e-06,0.0012493724934756756,3.6914111660735216e-06
8,0.002114353235810995,6.704060069750994e-05,0.005702213384211063,6.704060069750994e-05,0.0001341092720394954,0.007400948088616133,0.00013423083873931319,6.984594620007556e-06,0.0017681877361610532,6.989756002440117e-06,0.0028327603358775377,0.00034217286156490445,0.015758885070681572,0.00034217286156490445,0.0004096115007996559,0.019135115668177605,0.00041180633706972003,2.3775781301083043e-05,0.004594362340867519,2.376953671046067e-05
9,0.002155562397092581,8.474678179481998e-05,0.0062438007444143295,8.474678179481998e-05,0.00015580728359054774,0.008009917102754116,0.00015570629329886287,7.94014886196237e-06,0.0019069105619564652,7.934068889881019e-06,0.001958246575668454,1.57936319737928e-05,0.0036453483626246452,1.57936319737928e-05,5.683855488314293e-05,0.005139159969985485,5.695494473911822e-05,3.88943999496405e-06,0.0011697097215801477,3.852786448987899e-06
10,0.002036486053839326,4.766974598169327e-05,0.004883464425802231,4.766974598169327e-05,9.809622133616358e-05,0.00596416462212801,9.802055865293369e-05,5.242962743068347e-06,0.0014324941439554095,5.241015514911851e-06,0.0019635185599327087,4.679866469814442e-05,0.006739377044141293,4.679866469814442e-05,4.2539104470051825e-05,0.00411033583804965,4.210882616462186e-05,3.206340124961571e-06,0.0009600892663002014,3.151744294882519e-06
11,0.002125218277797103,8.392531890422106e-05,0.0065415711142122746,8.392531890422106e-05,0.00013444139040075243,0.00759996147826314,0.00013431716070044786,7.076768270053435e-06,0.001818495336920023,7.072520475048805e-06,0.0019036444136872888,2.878095756386756e-06,0.0015136264264583588,2.878095756386756e-06,3.3771626476664096e-05,0.003644851502031088,3.329058745293878e-05,2.9731165795965353e-06,0.000879259139765054,2.9142029234208167e-06
12,0.0021644907537847757,9.217511251335964e-05,0.00595267815515399,9.217511251335964e-05,0.00015936752606648952,0.007524887099862099,0.00015947456995490938,8.172971320163924e-06,0.0017930372850969434,8.185033038898837e-06,0.0024072814267128706,0.0002960515848826617,0.01614139974117279,0.0002960515848826617,0.00018012231157626957,0.011537698097527027,0.00018156124860979617,9.599562872608658e-06,0.0026423793751746416,9.60588931775419e-06
13,0.0020318804308772087,5.6732427765382454e-05,0.0049808211624622345,5.6732427765382454e-05,9.215758473146707e-05,0.005639837589114904,9.206274262396619e-05,5.04531953993137e-06,0.0013626355212181807,5.040135420131264e-06,0.00196588016115129,4.038410042994656e-05,0.005819088313728571,4.038410042994656e-05,5.160848377272487e-05,0.005398008972406387,5.1338516641408205e-05,4.364326287031872e-06,0.0013677070382982492,4.307015842641704e-06
14,0.002068793633952737,6.461917655542493e-05,0.005275823641568422,6.461917655542493e-05,0.00011472118058009073,0.00631118007004261,0.00011471122707007453,6.154446509754052e-06,0.0015204388182610273,6.1564965108118486e-06,0.00191022630315274,1.4417791135201696e-05,0.0033998526632785797,1.4417791135201696e-05,3.744331843336113e-05,0.003923372365534306,3.733179619302973e-05,3.2269806524709566e-06,0.0009558296878822148,3.182062982887146e-06
15,0.002155893249437213,9.330749162472785e-05,0.00548683013767004,9.330749162472785e-05,0.00015606034139636904,0.006431895308196545,0.00015589506074320525,8.06909883976914e-06,0.0015430181520059705,8.060740583459847e-06,0.0019045112421736121,9.504788067715708e-06,0.0023872076999396086,9.504788067715708e-06,3.9108133933041245e-05,0.004063313361257315,3.9075082895578817e-05,3.421039991735597e-06,0.0010021980851888657,3.3791820897022262e-06
16,0.00207985145971179,7.240213017212227e-05,0.005238847807049751,7.240213017212227e-05,0.00012665354006458074,0.006300607696175575,0.00012657628394663334,6.457618383137742e-06,0.001519715879112482,6.456810297095217e-06,0.0019514886662364006,3.403098526177928e-05,0.005401686765253544,3.403098526177928e-05,4.820953472517431e-05,0.005382542498409748,4.765356788993813e-05,4.290840934118023e-06,0.0013919094344601035,4.218173216941068e-06
17,0.0028880303725600243,0.0003032367676496506,0.007887742482125759,0.0003032367676496506,0.0004994654445908964,0.010379566811025143,0.0004989231238141656,2.529471203160938e-05,0.0024737936910241842,2.5270508558605798e-05,0.0019686617888510227,3.457487400737591e-05,0.005589946638792753,3.457487400737591e-05,5.320472700987011e-05,0.004880053456872702,5.291345951263793e-05,4.564122718875296e-06,0.001200773403979838,4.4957878344575875e-06
18,0.0019282905850559473,1.1717780580511317e-05,0.002376398304477334,1.1717780580511317e-05,5.766521644545719e-05,0.0035981154069304466,5.7654604461276904e-05,3.623345719461213e-06,0.0008942356216721237,3.6260812521504704e-06,0.0018845871090888977,2.1138217221050581e-07,0.0003459088911768049,2.1138217221050581e-07,2.82890468952246e-05,0.003021974815055728,2.787377525237389e-05,3.070749244216131e-06,0.0007803853368386626,3.00758938465151e-06
19,0.0019127612467855215,9.12039013201138e-06,0.002276130486279726,9.12039013201138e-06,4.9376878450857475e-05,0.0034639202058315277,4.946746412315406e-05,3.1824181405681884e-06,0.000861949345562607,3.1924430459184805e-06,0.0019114711321890354,4.542872375168372e-06,0.001527432119473815,4.542872375168372e-06,5.427269934443757e-05,0.00448756106197834,5.3746527555631474e-05,3.684340754261939e-06,0.001049581915140152,3.627951855378342e-06
20,0.002011192264035344,5.467018490890041e-05,0.004844993818551302,5.467018490890041e-05,9.057320130523294e-05,0.005428524222224951,9.05063861864619e-05,4.859112777921837e-06,0.0013128734426572919,4.857697604165878e-06,0.0018899354618042707,1.6878371752682142e-05,0.003934959881007671,1.6878371752682142e-05,2.9620867280755192e-05,0.003230405505746603,2.933382711489685e-05,3.010105501743965e-06,0.0008239762973971665,2.958956883958308e-06
21,0.0020337996538728476,6.19006241322495e-05,0.00507362000644207,6.19006241322495e-05,0.0001040336283040233,0.0058641936630010605,0.00010401099279988557,5.581078312388854e-06,0.0014180525904521346,5.579348453466082e-06,0.0021677601616829634,0.00011672202526824549,0.009257598780095577,0.00011672202526824549,0.0001485167449573055,0.011032024398446083,0.00014857336645945907,8.972891009761952e-06,0.0026489724405109882,8.921523658500519e-06
