epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,0.0030579986050724983,3.266384010203183e-05,0.003863121382892132,3.266384010203183e-05,0.00020256917923688889,0.01004582829773426,0.00020256532297935337,8.253268788394053e-06,0.0021888308692723513,8.253295163740404e-06,0.0029910888988524675,7.175278824433917e-06,0.0020686101634055376,7.175278824433917e-06,0.00017917167861014605,0.009682683274149895,0.00017913301417138427,7.490595180570381e-06,0.0021105746272951365,7.490532880183309e-06
1,0.0030854030046612024,4.541652378975414e-05,0.004472305998206139,4.541652378975414e-05,0.00022313478984870017,0.010257884860038757,0.00022312837245408446,8.563552910345607e-06,0.002216269029304385,8.563425581087358e-06,0.0029606232419610023,5.489037448569434e-06,0.00197419011965394,5.489037448569434e-06,0.00015077198622748256,0.008873623795807362,0.0001507487177150324,6.833860879851272e-06,0.00196776888333261,6.8341405494720675e-06
2,0.003071841550990939,4.1438535845372826e-05,0.004281168803572655,4.1438535845372826e-05,0.000213754057767801,0.010084106586873531,0.00021375274809543043,8.286896445497405e-06,0.0021808859892189503,8.286871889140457e-06,0.0031343570444732904,4.9052119720727205e-05,0.0037867557257413864,4.9052119720727205e-05,0.0002621314488351345,0.011671822518110275,0.00026209320640191436,9.321050129074138e-06,0.002410024404525757,9.321766810899135e-06
3,0.0030773768667131662,4.436587551026605e-05,0.004481526091694832,4.436587551026605e-05,0.0002176857815356925,0.010153969749808311,0.00021767639555037022,8.32396744954167e-06,0.002189051592722535,8.32388559501851e-06,0.0030022431164979935,2.184964614571072e-05,0.0035534484777599573,2.184964614571072e-05,0.0001787615183275193,0.009916468523442745,0.00017872368334792554,7.553781415481353e-06,0.0021586345974355936,7.553946034022374e-06
4,0.0030741712544113398,4.4186654122313485e-05,0.004440655466169119,4.4186654122313485e-05,0.0002163063909392804,0.010094374418258667,0.00021631084382534027,8.239477210736368e-06,0.0021749117877334356,8.239538146881387e-06,0.0032149215694516897,0.00012064750626450405,0.007876407355070114,0.00012064750626450405,0.00026622513541951776,0.012344335205852985,0.00026619480922818184,1.0168514563702047e-05,0.0025734484661370516,1.0169522283831611e-05
5,0.0030718971975147724,4.370015813037753e-05,0.00445737037807703,4.370015813037753e-05,0.0002166948252124712,0.010074637830257416,0.0002166861086152494,8.199997864721809e-06,0.0021687960252165794,8.199806870834436e-06,0.002986864885315299,1.435340800526319e-05,0.0024025014135986567,1.435340800526319e-05,0.00017269932141061872,0.009797814302146435,0.00017267036309931427,7.2733396336843725e-06,0.002129768719896674,7.273627488757484e-06
6,0.0030687989201396704,4.2824322008527815e-05,0.004416634328663349,4.2824322008527815e-05,0.00021402962738648057,0.010048888623714447,0.00021401801495812833,8.123867701215204e-06,0.002161890035495162,8.123627594613936e-06,0.003012134460732341,2.7033735022996552e-05,0.0031900687608867884,2.7033735022996552e-05,0.0001905531098600477,0.009906432591378689,0.00019051750132348388,7.48368984204717e-06,0.0021315899211913347,7.4840077104454394e-06
7,0.0030740571673959494,4.529341822490096e-05,0.0044614654034376144,4.529341822490096e-05,0.0002208840160164982,0.01006768736988306,0.00022087822435423732,8.199964213417843e-06,0.0021621142514050007,8.199903277272824e-06,0.0029445376712828875,4.9595992095419206e-06,0.0017860493389889598,4.9595992095419206e-06,0.0001515112817287445,0.008952662348747253,0.00015148133388720453,6.456054052250693e-06,0.0019663930870592594,6.4565433604002465e-06
8,0.0030709407292306423,4.464386074687354e-05,0.004448098596185446,4.464386074687354e-05,0.0002178925060434267,0.010056871920824051,0.00021788437152281404,8.134358722600155e-06,0.002158250892534852,8.134057679853868e-06,0.0030324021354317665,3.876338814734481e-05,0.004004813265055418,3.876338814734481e-05,0.00019328913185745478,0.010681664571166039,0.00019325285393279046,7.706955329922494e-06,0.0022922002244740725,7.707136319368146e-06
9,0.003060610732063651,4.20488795498386e-05,0.004405115731060505,4.20488795498386e-05,0.0002143284073099494,0.009904672391712666,0.00021431977802421898,7.95317828305997e-06,0.0021284709218889475,7.952985470183194e-06,0.0032331349793821573,6.910658703418449e-05,0.004355643410235643,6.910658703418449e-05,0.00033120677107945085,0.012801837176084518,0.000331143441144377,1.0909429875027854e-05,0.0026075528003275394,1.0909004231507424e-05
10,0.003069804748520255,4.532265302259475e-05,0.004448596388101578,4.532265302259475e-05,0.00021722853125538677,0.01000360120087862,0.00021721815573982894,8.066628652159125e-06,0.0021447630133479834,8.06636489869561e-06,0.002972452202811837,1.6094667444122024e-05,0.0031192749738693237,1.6094667444122024e-05,0.00016908046382013708,0.008968557231128216,0.00016905381926335394,6.759535153832985e-06,0.0019464804790914059,6.760303676855983e-06
11,0.0030667090322822332,4.418374737724662e-05,0.004465829115360975,4.418374737724662e-05,0.00021662513609044254,0.010012071579694748,0.00021661768550984561,8.019292181415949e-06,0.0021438489202409983,8.019237611733843e-06,0.0031046282965689898,7.099178765201941e-05,0.006025118287652731,7.099178765201941e-05,0.00022588710999116302,0.0111306207254529,0.00022586126578971744,8.49657863000175e-06,0.0023385065142065287,8.497560884279665e-06
12,0.003065860830247402,4.45363148173783e-05,0.004447632003575563,4.45363148173783e-05,0.00021893010125495493,0.00996388215571642,0.0002189456281485036,7.998257387953345e-06,0.0021325000561773777,7.998811270226724e-06,0.0031075540464371443,0.00010907800606219098,0.009626610204577446,0.00010907800606219098,0.00019163315300829709,0.009259918704628944,0.00019163632532581687,7.873012691561598e-06,0.0019988755229860544,7.874791663198266e-06
13,0.003065049648284912,4.4473861635196954e-05,0.004420116543769836,4.4473861635196954e-05,0.0002152570232283324,0.009977549314498901,0.00021524682233575732,7.980810551089235e-06,0.0021367527078837156,7.980509508342948e-06,0.0029419793281704187,8.210582564061042e-06,0.002426841529086232,8.210582564061042e-06,0.00014451703464146703,0.008776890113949776,0.00014449813170358539,6.282901722443057e-06,0.0019279803382232785,6.2837216319167055e-06
14,0.003062729025259614,4.39809518866241e-05,0.004419059492647648,4.39809518866241e-05,0.00021317765640560538,0.009973598644137383,0.00021317077334970236,7.938767339510377e-06,0.00213547027669847,7.938703674881253e-06,0.002950140042230487,1.4966659364290535e-05,0.0033422198612242937,1.4966659364290535e-05,0.00014530683984048665,0.008721426129341125,0.00014528924657497555,6.343314453260973e-06,0.0019277044339105487,6.344347639242187e-06
15,0.0030550684314221144,4.159659511060454e-05,0.004353124648332596,4.159659511060454e-05,0.00021062027371954173,0.009862244129180908,0.00021061219740658998,7.82644929131493e-06,0.0021145076025277376,7.826281034795102e-06,0.0030439686961472034,6.837126420577988e-05,0.0064041572622954845,6.837126420577988e-05,0.0001821845944505185,0.010090918280184269,0.0001821517216740176,7.3003834586415906e-06,0.002168638166040182,7.3009441621252336e-06
16,0.003058604896068573,4.331173840910196e-05,0.004395995754748583,4.331173840910196e-05,0.00021144449419807643,0.009896238334476948,0.00021143666526768357,7.846144399081822e-06,0.002119152108207345,7.846021617297083e-06,0.0029525640420615673,2.5700372134451754e-05,0.0049266270361840725,2.5700372134451754e-05,0.00014766710228286684,0.008212321437895298,0.00014765137166250497,6.179383944981964e-06,0.0018248457927256823,6.180532182042953e-06
17,0.003063169540837407,4.553739927359857e-05,0.004468552302569151,4.553739927359857e-05,0.0002174635010305792,0.009945724159479141,0.00021745858248323202,7.948061465867795e-06,0.002126974519342184,7.948003258206882e-06,0.0029703546315431595,1.1135392014693934e-05,0.0023609029594808817,1.1135392014693934e-05,0.00017072704213205725,0.009233414195477962,0.0001707160845398903,6.762583780073328e-06,0.001987616065889597,6.7638470682140905e-06
18,0.00305556901730597,4.286410330678336e-05,0.004414395894855261,4.286410330678336e-05,0.0002140846918337047,0.00989567395299673,0.0002140847354894504,7.845444088161457e-06,0.0021174591965973377,7.84558415034553e-06,0.002991077955812216,2.8162627131678164e-05,0.004233868792653084,2.8162627131678164e-05,0.00016926192620303482,0.009344643913209438,0.00016924136434681714,6.956878678465728e-06,0.0020325384102761745,6.9577727117575705e-06
19,0.0030510644428431988,4.098323915968649e-05,0.004307952243834734,4.098323915968649e-05,0.00020705629140138626,0.00987300369888544,0.00020704981579910964,7.760224434605334e-06,0.002114206552505493,7.760168955428526e-06,0.003083049086853862,6.60690275253728e-05,0.005835857708007097,6.60690275253728e-05,0.00021880534768570215,0.01082872785627842,0.0002187672653235495,8.190147127606906e-06,0.0022928500548005104,8.19063643575646e-06
20,0.0030561769381165504,4.353513213573024e-05,0.004369073081761599,4.353513213573024e-05,0.00021764551638625562,0.009892360307276249,0.0002176378038711846,7.899123374954797e-06,0.002115772571414709,7.898992407717742e-06,0.002971213310956955,2.027927439485211e-05,0.0037043108604848385,2.027927439485211e-05,0.00015644959057681262,0.008471610024571419,0.0001564405538374558,6.682842922600685e-06,0.0018715104088187218,6.68413849780336e-06
21,0.0030488716438412666,4.136484858463518e-05,0.004361938685178757,4.136484858463518e-05,0.00020758970640599728,0.009827124886214733,0.00020757717720698565,7.720710527792107e-06,0.0021044686436653137,7.720329449512064e-06,0.002988440217450261,2.230616519227624e-05,0.0035393356811255217,2.230616519227624e-05,0.00017428869614377618,0.009776866994798183,0.00017426202248316258,7.246917448355816e-06,0.0021178768947720528,7.247467692650389e-06
22,0.003057365771383047,4.4201053242431954e-05,0.004449787549674511,4.4201053242431954e-05,0.00021559950255323201,0.0099317766726017,0.00021564507915172726,7.895769158494659e-06,0.002123498823493719,7.897046089055948e-06,0.0030404466670006514,2.4499882783857174e-05,0.0038552675396203995,2.4499882783857174e-05,0.00021213451691437513,0.010078690946102142,0.00021210651902947575,7.51206334825838e-06,0.0020956911612302065,7.512996489822399e-06
23,0.0030478043481707573,4.104748586541973e-05,0.004300843924283981,4.104748586541973e-05,0.0002085274609271437,0.009810981340706348,0.00020852718444075435,7.726063813606743e-06,0.0021010686177760363,7.726148396614008e-06,0.0033519354183226824,0.00011309567344142124,0.007370833307504654,0.00011309567344142124,0.00039239053148776293,0.013993567787110806,0.0003923205949831754,1.2533027074823622e-05,0.002801170339807868,1.2532947039289866e-05
24,0.0030586987268179655,4.560744491755031e-05,0.0043235160410404205,4.560744491755031e-05,0.00021047404152341187,0.009905045852065086,0.00021046935580670834,7.863891369197518e-06,0.0021195202134549618,7.863734026614111e-06,0.0030508101917803288,6.30803478998132e-05,0.005382319446653128,6.30803478998132e-05,0.00019768816127907485,0.010387872345745564,0.0001976759231183678,7.850823749322444e-06,0.0022187407594174147,7.852589078538585e-06
25,0.00304913567379117,4.195681685814634e-05,0.004379611928015947,4.195681685814634e-05,0.00021166801161598414,0.009810693562030792,0.00021166146325413138,7.749586075078696e-06,0.0020986648742109537,7.749534233880695e-06,0.0030726194381713867,6.664593820460141e-05,0.005429339129477739,6.664593820460141e-05,0.00020952572231180966,0.011306071653962135,0.0002094877272611484,8.140493264363613e-06,0.002398138865828514,8.140910722431727e-06
26,0.0030485920142382383,4.226226519676857e-05,0.00434452248737216,4.226226519676857e-05,0.00021052264492027462,0.00983482412993908,0.00021053421369288117,7.75002445152495e-06,0.002103840233758092,7.750310032861307e-06,0.0029884041287004948,3.954120256821625e-05,0.005558251868933439,3.954120256821625e-05,0.00016714689263608307,0.009226287715137005,0.0001671205973252654,6.779381237720372e-06,0.002013921504840255,6.780468538636342e-06
27,0.003045825520530343,4.147025174461305e-05,0.004252870567142963,4.147025174461305e-05,0.00021150535030756146,0.009769781492650509,0.00021149399981368333,7.718382221355569e-06,0.002091196831315756,7.71813120081788e-06,0.0030128885991871357,4.260394416633062e-05,0.004614554345607758,4.260394416633062e-05,0.00017822232621256262,0.00969208125025034,0.00017821149958763272,7.339890089497203e-06,0.0020891278982162476,7.341701802943135e-06
28,0.0030570216476917267,4.579468441079371e-05,0.00443165423348546,4.579468441079371e-05,0.0002154008689103648,0.009913641959428787,0.00021539103181567043,7.873912181821652e-06,0.0021180380135774612,7.873595677665435e-06,0.002980512101203203,1.586981670698151e-05,0.002573713893070817,1.586981670698151e-05,0.0001758837461238727,0.009895924478769302,0.0001758537837304175,6.9970828917576e-06,0.002125052735209465,6.997756372584263e-06
29,0.003045811550691724,4.177305891062133e-05,0.004328667651861906,4.177305891062133e-05,0.00020938296802341938,0.009797780774533749,0.00020937612862326205,7.71818304201588e-06,0.002097697462886572,7.718006600043736e-06,0.002933192066848278,3.821087375399657e-06,0.0013344893231987953,3.821087375399657e-06,0.0001504882675362751,0.008193474262952805,0.00015047640772536397,6.2156273088476155e-06,0.0018092870013788342,6.21724029770121e-06
30,0.0030476409010589123,4.3007930798921734e-05,0.004297330509871244,4.3007930798921734e-05,0.0002103115402860567,0.00976043101400137,0.00021030438074376434,7.71335544413887e-06,0.0020894038025289774,7.71315080783097e-06,0.0029781311750411987,2.1393716451711953e-05,0.0034428564831614494,2.1393716451711953e-05,0.0001726763293845579,0.010062409564852715,0.0001726476039038971,6.969863079575589e-06,0.0021687925327569246,6.970461981836706e-06
31,0.0030540162697434425,4.522951348917559e-05,0.004523595329374075,4.522951348917559e-05,0.0002146844781236723,0.009925791062414646,0.00021467331680469215,7.832325536583085e-06,0.0021177465096116066,7.832079973013606e-06,0.0031904156785458326,5.329335181158967e-05,0.004437119234353304,5.329335181158967e-05,0.000316990859573707,0.012730731628835201,0.0003169307892676443,1.0523347555135842e-05,0.002583898836746812,1.052331026585307e-05
32,0.003043843898922205,4.1668401536298916e-05,0.004372178111225367,4.1668401536298916e-05,0.00020769878756254911,0.009797032922506332,0.00020769223920069635,7.677465873712208e-06,0.002095994772389531,7.67729761719238e-06,0.00295108649879694,1.3441688679449726e-05,0.002450865227729082,1.3441688679449726e-05,0.00016055090236477554,0.009008646942675114,0.00016054316074587405,6.5484573497087695e-06,0.0019563829991966486,6.550293619511649e-06
33,0.003045325865969062,4.302755405660719e-05,0.004365951754152775,4.302755405660719e-05,0.0002084180887322873,0.009814213961362839,0.00020841308287344873,7.702843504375778e-06,0.0020987235475331545,7.702701623202302e-06,0.0029383620712906122,6.035793830960756e-06,0.0014615748077630997,6.035793830960756e-06,0.00015890142822172493,0.0088353231549263,0.00015887897461652756,6.37227640254423e-06,0.0019259697292000055,6.373461928887991e-06
34,0.0030404033605009317,4.064165477757342e-05,0.00428758654743433,4.064165477757342e-05,0.00020876839698757976,0.009721238166093826,0.00020875896734651178,7.638347597094253e-06,0.002081270795315504,7.638171155122109e-06,0.002919211983680725,2.422254283374059e-06,0.001129215001128614,2.422254283374059e-06,0.00014398801431525499,0.008423665538430214,0.0001439776533516124,6.110404683568049e-06,0.001854329602792859,6.111875336500816e-06
35,0.003044546814635396,4.220258051645942e-05,0.004381894133985043,4.220258051645942e-05,0.00021149528038222343,0.00981619581580162,0.00021148943051230162,7.722598638792988e-06,0.002098250901326537,7.722547707089689e-06,0.003055798588320613,4.6630288125015795e-05,0.005037328228354454,4.6630288125015795e-05,0.0002155919501092285,0.010389220900833607,0.00021558305888902396,7.910132808319759e-06,0.00217617629095912,7.912151886557695e-06
36,0.003045806661248207,4.3074353015981615e-05,0.004375231917947531,4.3074353015981615e-05,0.00020923037664033473,0.009814819321036339,0.00020922203839290887,7.708731573075056e-06,0.002098826924338937,7.708670636930037e-06,0.00293735065497458,8.014176273718476e-06,0.0017698564333841205,8.014176273718476e-06,0.00015444138261955231,0.009155906736850739,0.00015441827417816967,6.367137302731862e-06,0.002001197310164571,6.368133199430304e-06
37,0.0030392035841941833,4.1115828935289755e-05,0.004337562248110771,4.1115828935289755e-05,0.00020782013598363847,0.00972985103726387,0.00020781003695446998,7.612775789311854e-06,0.0020811676513403654,7.612596164108254e-06,0.0030314091127365828,3.063033727812581e-05,0.004012236837297678,3.063033727812581e-05,0.0002077301760436967,0.010633068159222603,0.00020770828996319324,7.756996637908742e-06,0.0022271284833550453,7.758397259749472e-06
38,0.0030397893860936165,4.148819425608963e-05,0.0043053654953837395,4.148819425608963e-05,0.0002066751621896401,0.009746389463543892,0.0002066637680400163,7.626809747307561e-06,0.0020856584887951612,7.6266369433142245e-06,0.0029277768917381763,8.440314559265971e-06,0.0026018281932920218,8.440314559265971e-06,0.00014233842375688255,0.008162516169250011,0.00014232586545404047,6.032886631146539e-06,0.001802631071768701,6.034550096956082e-06
39,0.0030441246926784515,4.371913746581413e-05,0.004402463324368,4.371913746581413e-05,0.0002114974777214229,0.009792821481823921,0.0002114872622769326,7.708059456490446e-06,0.002092889742925763,7.707823897362687e-06,0.00295924860984087,3.117078449577093e-05,0.004276833962649107,3.117078449577093e-05,0.0001445265079382807,0.009158062748610973,0.000144513018312864,6.357228357956046e-06,0.0020111685153096914,6.358432074193843e-06
40,0.0030421463306993246,4.2644805944291875e-05,0.00440876604989171,4.2644805944291875e-05,0.00020901040988974273,0.009767597541213036,0.0002089992049150169,7.646461199328769e-06,0.0020877502392977476,7.646316589671187e-06,0.0029200229328125715,5.992121259623673e-06,0.0022144345566630363,5.992121259623673e-06,0.0001368305238429457,0.00823485292494297,0.00013681536074727774,6.013544407323934e-06,0.0018230233108624816,6.014895461703418e-06
41,0.003036708105355501,4.110797817702405e-05,0.004323729779571295,4.110797817702405e-05,0.0002057448000414297,0.00971777830272913,0.00020573445362970233,7.58362557462533e-06,0.0020802244544029236,7.5833513619727455e-06,0.002934829331934452,6.369994480337482e-06,0.0018413191428408027,6.369994480337482e-06,0.00015273989993147552,0.008658020757138729,0.00015272626478690654,6.272115570027381e-06,0.0018911671359091997,6.273722192418063e-06
42,0.0030346736311912537,4.046409230795689e-05,0.004285324364900589,4.046409230795689e-05,0.00020456567290239036,0.009672176092863083,0.00020455931371543556,7.542364528489998e-06,0.0020714090205729008,7.542295861640014e-06,0.0029367224778980017,1.781048922566697e-05,0.0038352685514837503,1.781048922566697e-05,0.0001455462333979085,0.00870281271636486,0.00014553887012880296,6.254292202356737e-06,0.001905469922348857,6.2562653511122335e-06
43,0.003040635958313942,4.2813240725081414e-05,0.004367808345705271,4.2813240725081414e-05,0.00020877407223451883,0.009755848906934261,0.0002087632892653346,7.636305781488772e-06,0.002085150219500065,7.636152986378875e-06,0.00292978179641068,1.1067318155255634e-05,0.0027509848587214947,1.1067318155255634e-05,0.00014914748317096382,0.008556678891181946,0.00014913309132680297,6.140730420156615e-06,0.001862504635937512,6.14249756836216e-06
44,0.003043504199013114,4.4494801841210574e-05,0.004412707407027483,4.4494801841210574e-05,0.00020971920457668602,0.009776609018445015,0.00020971690537407994,7.665189514227677e-06,0.002088395180180669,7.665187695238274e-06,0.0030130401719361544,4.7545196139253676e-05,0.006030650809407234,4.7545196139253676e-05,0.00018708033894654363,0.010048585943877697,0.00018704452668316662,7.342609023908153e-06,0.002167740371078253,7.343635843426455e-06
45,0.003039267845451832,4.339314909884706e-05,0.004415411036461592,4.339314909884706e-05,0.00021027863840572536,0.009723159484565258,0.00021027211914770305,7.621933491464006e-06,0.0020781366620212793,7.621778877364704e-06,0.00361506175249815,0.00028985319659113884,0.014129606075584888,0.00028985319659113884,0.0004503178352024406,0.017186647281050682,0.00045026009320281446,1.618636815692298e-05,0.0034572959411889315,1.6186873835977167e-05
46,0.0030383397825062275,4.264951348886825e-05,0.004316641017794609,4.264951348886825e-05,0.00021012518845964223,0.009702675975859165,0.0002101417921949178,7.629602805536706e-06,0.0020753531716763973,7.630263098690193e-06,0.00293939677067101,1.3225630937085953e-05,0.003107814583927393,1.3225630937085953e-05,0.00014963741705287248,0.00918447133153677,0.00014962011482566595,6.271767233556602e-06,0.0020017416682094336,6.273150574997999e-06
47,0.0030387951992452145,4.2627842049114406e-05,0.0043951887637376785,4.2627842049114406e-05,0.00020851274894084781,0.00975825171917677,0.00020851136650890112,7.622968496434623e-06,0.0020844824612140656,7.623051260452485e-06,0.0029724398627877235,2.1908934286329895e-05,0.0036860923282802105,2.1908934286329895e-05,0.00016550485452171415,0.008701193146407604,0.00016549753490835428,6.778367605875246e-06,0.0019039667677134275,6.780222520319512e-06
48,0.0030305637046694756,4.009249823866412e-05,0.004255174659192562,4.009249823866412e-05,0.00020000760559923947,0.009658384136855602,0.00019999651703983545,7.459376320184674e-06,0.0020680504385381937,7.459137123078108e-06,0.002990954089909792,3.5477056371746585e-05,0.004767120815813541,3.5477056371746585e-05,0.00018018446280620992,0.009369971230626106,0.0001801650068955496,6.932091309863608e-06,0.002009536372497678,6.9337970671767835e-06
49,0.003034946508705616,4.180517862550914e-05,0.004353949800133705,4.180517862550914e-05,0.00020813362789340317,0.009691598825156689,0.00020812381990253925,7.554570402135141e-06,0.002070621121674776,7.554362582595786e-06,0.0031417482532560825,7.000988262007013e-05,0.005851219408214092,7.000988262007013e-05,0.00026770465774461627,0.012492728419601917,0.00026768160751089454,9.336753464594949e-06,0.002544538350775838,9.338580639450811e-06
50,0.003032446838915348,4.04992388212122e-05,0.004194527864456177,4.04992388212122e-05,0.00020336995657999068,0.009666506201028824,0.00020337208115961403,7.504735549446195e-06,0.0020674646366387606,7.505034773203079e-06,0.002990717999637127,2.863620284188073e-05,0.004229024052619934,2.863620284188073e-05,0.00018272789020556957,0.008904317393898964,0.00018271681619808078,6.887158633617219e-06,0.0018954541301354766,6.889100404805504e-06
51,0.0030348817817866802,4.173595880274661e-05,0.004341438412666321,4.173595880274661e-05,0.0002076513337669894,0.009703456424176693,0.0002076410164590925,7.55787868911284e-06,0.0020725689828395844,7.557628578069853e-06,0.003334428183734417,0.000143404133268632,0.009421579539775848,0.000143404133268632,0.00035657183616422117,0.01432421151548624,0.000356515432940796,1.2259789400559384e-05,0.0028842429164797068,1.226008953381097e-05
52,0.003031050553545356,4.066748442710377e-05,0.00425511272624135,4.066748442710377e-05,0.00020221293380018324,0.009658235125243664,0.00020220785518176854,7.474000085494481e-06,0.002065536566078663,7.473975074390182e-06,0.0029267440550029278,7.40095993023715e-06,0.0019405013881623745,7.40095993023715e-06,0.00014926251606084406,0.008682881481945515,0.00014924939023330808,6.190601197886281e-06,0.0018997595179826021,6.192138698679628e-06
53,0.003026381367817521,3.9247046515811235e-05,0.004228702746331692,3.9247046515811235e-05,0.00020125410810578614,0.009612617082893848,0.00020124584261793643,7.426984666381031e-06,0.0020574117079377174,7.426909633068135e-06,0.002932895440608263,1.1244994311709888e-05,0.002645212458446622,1.1244994311709888e-05,0.00015403768338728696,0.00827162154018879,0.0001540241064503789,6.19682350588846e-06,0.0018104451010003686,6.198587016115198e-06
54,0.003033129032701254,4.192338383290917e-05,0.004353458061814308,4.192338383290917e-05,0.00020989346376154572,0.009658894501626492,0.00020989788754377514,7.545954758825246e-06,0.002063520485535264,7.5462103268364444e-06,0.0029494334012269974,2.0887406208203174e-05,0.003779798047617078,2.0887406208203174e-05,0.00015394862566608936,0.00918731838464737,0.000153928849613294,6.24690164841013e-06,0.0019769640639424324,6.248088538995944e-06
55,0.0030243461951613426,3.9140068111009896e-05,0.004262347240000963,3.9140068111009896e-05,0.00020029167353641242,0.009572386741638184,0.00020029250299558043,7.384015589195769e-06,0.0020496915094554424,7.38407743483549e-06,0.0029840802308171988,2.0058856534888037e-05,0.0035441266372799873,2.0058856534888037e-05,0.00018242310034111142,0.009871921502053738,0.00018240725330542773,7.201550033641979e-06,0.002111343666911125,7.203075711004203e-06
56,0.0030286884866654873,4.094103496754542e-05,0.004291444551199675,4.094103496754542e-05,0.00020450125157367438,0.009588953107595444,0.00020448934810701758,7.454711521859281e-06,0.0020522719714790583,7.45453689887654e-06,0.002930633258074522,1.0729805580922402e-05,0.0021842338610440493,1.0729805580922402e-05,0.00014909183664713055,0.008924001827836037,0.00014906810247339308,6.241676601348445e-06,0.0019420041935518384,6.2424987845588475e-06
